scope,pipeline,L,step,mean_nldd,nldd_se,mean_tas_t,tas_t_se,n_clean,bin_status
medium,v6,8,1,,,1.0,0.0,120,ok
medium,v6,8,2,4.843045276392675,3.552650304458932,0.6611176934441381,0.00835110764466218,120,ok
medium,v6,8,3,-2.053164456386733,4.73722438395372,0.5383538066226877,0.006732182558028675,120,ok
medium,v6,8,4,-6.937086024717396,8.330311008408628,0.46526880738514675,0.0060457105057159614,120,ok
medium,v6,8,5,3.2954558219627446,7.006030029747549,0.41381253514003324,0.005607520810639286,120,ok
medium,v6,8,6,2.2612983708203926,8.581175665789566,0.3743128257644656,0.005142732975754547,120,ok
medium,v6,8,7,102.32240514626247,26.48990719735127,0.3421129356565271,0.0048775149754034935,120,ok
medium,v6,8,8,407.84304265368814,109.45430570394652,0.31982520634092737,0.004350292819128119,120,ok
medium,v6,9,1,,,1.0,0.0,120,ok
medium,v6,9,2,3.664123085952278,8.175064342226646,0.6820417759983566,0.00819722520020301,120,ok
medium,v6,9,3,4.736766084018939,10.5370566605484,0.5516036948177001,0.006643357721117505,120,ok
medium,v6,9,4,6.305367119605016,7.198076054674389,0.48124688450324477,0.005942941403361876,120,ok
medium,v6,9,5,11.490099333063862,6.341681257478262,0.43125584653528104,0.005445612690561936,120,ok
medium,v6,9,6,-5.167397631069357,5.609577917081136,0.39390050307748115,0.005263452491912288,120,ok
medium,v6,9,7,-19.421713899692744,13.11140989077931,0.3594749811892564,0.0045034062623320265,120,ok
medium,v6,9,8,75.11035576258442,44.69354637537161,0.3323471735780243,0.004019545782338858,120,ok
medium,v6,9,9,584.2289330215796,147.59395650371357,0.3090741419134111,0.003964810386930254,120,ok
medium,v6,10,1,,,1.0,0.0,68,ok
medium,v6,10,2,6.243011324685161,1.9381007602807485,0.6654185264122274,0.013117221345729305,68,ok
medium,v6,10,3,2.0210224708130484,2.3664208418054935,0.530561443386348,0.011062336411466442,68,ok
medium,v6,10,4,0.39284970651474604,3.668500168505099,0.46627685595606083,0.00943535637346194,68,ok
medium,v6,10,5,0.819715255001761,2.5934610110993686,0.4188094958582415,0.007892137518049916,68,ok
medium,v6,10,6,-3.3529189393839736,3.1694038391406125,0.38122764491496985,0.007176461292953878,68,ok
medium,v6,10,7,2.6050687852278034,4.46382816696744,0.35503513782034735,0.006744173082231594,68,ok
medium,v6,10,8,1.3634553236436604,4.1277529820321535,0.3257395007872452,0.006505955987625774,68,ok
medium,v6,10,9,60.48210711474567,12.776615562825404,0.30117652213749774,0.00600735008875841,68,ok
medium,v6,10,10,215.22383542513012,50.40304759715122,0.28415796513003505,0.005450037241528936,68,ok
medium,v6,11,1,,,1.0,0.0,37,ok
medium,v6,11,2,7.497164223557905,5.57128257124133,0.6744220352172549,0.016700241159889113,37,ok
medium,v6,11,3,-4.608685801934364,4.880866258300021,0.5379070952326721,0.014667304749561528,37,ok
medium,v6,11,4,-0.318948091700355,3.9968920610479413,0.4735858613895111,0.012728756767674092,37,ok
medium,v6,11,5,2.3680179820790594,6.917490768715217,0.4290869550038387,0.010957154627615755,37,ok
